%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,99.94
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
0.00,0.01,0.00,0.00,0.00,0.00,0.00,99.99,,
