,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,5.620550962,1,2345,3,0,1,12,1,11,2,0,0,0,0,3,0,10281,41,6529545108,2409,46,47,85406535492
1,5.809898453,1,2453,5,0,3,2,3,3,2,0,41,26,0,3,0,10041,38,6347686788,2619,27,28,87455901474
1,5.378125695,1,2219,0,0,0,0,0,0,0,0,0,0,0,3,0,8320,26,5286247564,2371,30,32,79783665434
2,10.439848266,1,2152,0,1,0,0,0,0,1,0,1,0,0,9,0,8808,30,5322056099,2113,28,28,75592787982
3,16.353145278,1,2675,0,5,0,12,0,0,2,0,0,0,0,0,0,9768,42,6082980758,2733,47,45,89220068560
4,22.058123415,1,2269,7,0,2,12,2,10,2,0,0,0,0,0,0,8909,37,5449965153,2213,40,42,84926810464
5,26.930215245,1,2027,7,6,4,105,4,10,0,0,0,0,0,0,0,8165,36,4987349662,2100,49,48,72818090020
6,32.31808809,1,2283,7,0,4,105,4,10,1,0,1,0,0,0,0,8774,28,5404655773,2217,33,33,80733087248
7,37.942089001,1,2314,18,0,8,5,7,105,1,0,0,0,0,0,0,9378,33,5667640693,2318,33,34,83918280630
8,44.834163407,1,3148,18,1,6,20,5,105,2,0,0,0,0,0,0,11782,42,7477270102,3249,46,46,105146042786
9,52.469363506,1,3101,18,0,6,49,5,105,0,0,0,0,0,0,0,11478,44,7019675440,2930,51,50,112828177422
10,57.459992809,1,2099,0,0,0,34,0,3,1,0,1,0,0,0,0,8398,41,5143824303,2101,41,38,75406005042
11,63.193978088,1,2284,0,0,0,9,0,18,2,0,0,0,0,0,0,8790,29,5547440549,2326,34,35,85036621162
12,68.481298579,1,2204,0,0,0,9,0,18,1,0,0,0,0,0,0,8420,30,5088232479,2157,47,48,79296205630
13,73.539670366,1,2101,14,3,4,3,2,50,1,0,0,0,0,0,0,9054,36,5593765739,2273,31,30,76374319712
14,79.529822278,1,2418,14,1,4,7,2,35,2,0,1,0,0,0,0,8412,24,5273290144,2216,47,49,89146045172
15,86.133486321,1,2799,14,6,4,23,2,35,1,0,0,0,0,0,0,10954,30,6704318975,2815,49,50,98550964638
16,91.511643306,1,2061,0,0,0,28,0,20,1,0,1,0,0,0,0,9779,30,6018918836,2308,47,45,80541080796
17,97.773920263,1,2650,2,0,2,12,2,20,2,0,0,0,0,0,0,8722,30,5416763532,2374,34,36,93764264632
18,103.25200921,1,2565,2,0,2,3,2,20,1,0,0,0,0,0,0,10072,36,6123174137,2732,45,44,82238953696
19,108.435627508,1,2015,4,0,4,8,4,3,0,0,0,0,0,0,0,8720,34,5315180757,1868,28,27,77573184090
20,113.833900179,1,2245,5,0,2,8,3,4,2,0,1,0,0,0,0,8369,28,5228868910,2422,36,38,81059032860
21,120.365798259,1,2803,7,1,3,7,3,20,1,0,0,0,0,0,0,11254,36,6855926852,2857,50,48,97642632170
22,127.657787858,1,3106,5,0,1,7,1,20,1,0,0,0,0,0,0,10737,38,6785328829,2974,49,49,109625787930
